material,size,shape,Zeta,Synthesis_method,reductant,Syn_time,Syn_temperature,pH,precursor_C,extractant,coating,cell_type,cell_line,Exposure_C,Exposure_time,Via_test,viability
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,HDF,5,24,XTT,92.17
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,HDF,10,24,XTT,84.34
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,60,24,LIVE/DEAD,88.4
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,125,24,LIVE/DEAD,77.2
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,250,24,LIVE/DEAD,76.4
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,500,24,LIVE/DEAD,43.7
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,1000,24,LIVE/DEAD,48.9
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,60,48,LIVE/DEAD,84.3
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,125,48,LIVE/DEAD,81.9
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,250,48,LIVE/DEAD,71.7
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,500,48,LIVE/DEAD,59.2
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,1000,48,LIVE/DEAD,60.2
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,60,72,LIVE/DEAD,94.9
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,125,72,LIVE/DEAD,90.1
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,250,72,LIVE/DEAD,78.8
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,500,72,LIVE/DEAD,55.6
Au,16,sphere,30,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,1000,72,LIVE/DEAD,58.7
Au,21,sphere,45,biological,extract,150,65,4.5,100,water,phytochemicals,primary,HDF,60,24,LIVE/DEAD,88.2
