material,size,shape,Zeta,Synthesis_method,reductant,Syn_time,Syn_temperature,pH,precursor_C,extractant,coating,cell_type,cell_line,Exposure_C,Exposure_time,Via_test,viability
Au,29.54,sphere,41.69,biological,extract,120,50,4,1,water-ethanol,polyphenol,Immortalized,KMST,25,24,MTT,110.51
Au,29.54,sphere,41.69,biological,extract,120,50,4,1,water-ethanol,polyphenol,Immortalized,KMST,50,24,MTT,118.5
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,1.5625,24,MTT,98.73
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,3.125,24,MTT,97.25
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,6.25,24,MTT,100.36
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,12.5,24,MTT,106.35
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,25,24,MTT,117.56
Au,23.11,sphere,50.76,biological,extract,120,50,5,1,water-ethanol,polyphenol,Immortalized,KMST,50,24,MTT,131.55
Au,19,mixture,27,biological,extract,30,40,,2.544,water-ethanol-methanol,phytochemicals,Immortalized,HDF,500,72,MTT,92.97
Au,19,mixture,27,biological,extract,30,40,,2.544,water-ethanol-methanol,phytochemicals,Immortalized,HDF,1000,72,MTT,90.97
Au,19,mixture,27,biological,extract,30,40,,2.544,water-ethanol-methanol,phytochemicals,Immortalized,HDF,2000,72,MTT,84.29
Au,19,mixture,27,biological,extract,30,40,,2.544,water-ethanol-methanol,phytochemicals,Immortalized,HDF,4000,72,MTT,79.85
Au,19,mixture,27,biological,extract,30,40,,2.544,water-ethanol-methanol,phytochemicals,Immortalized,HDF,8000,72,MTT,59.14
Au,21,sphere,-35,chemical,sodium citrate,95,30,,,0,0,Immortalized,HFF,3,24,MTT,98.06
Au,21,sphere,-35,chemical,sodium citrate,95,30,,,0,0,Immortalized,HFF,5,24,MTT,99.7
Au,21,sphere,-35,chemical,sodium citrate,95,30,,,0,0,Immortalized,HFF,10,24,MTT,98.3
Au,21,sphere,-35,chemical,sodium citrate,95,30,,,0,0,Immortalized,HFF,15,24,MTT,95.08
Au,21,sphere,-35,chemical,sodium citrate,95,30,,,0,0,Immortalized,HFF,25,24,MTT,96.18
Au,19,sphere,16,chemical,sodium citrate,25,45,,,0,protein,Immortalized,HFF,3,24,MTT,100.38
Au,19,sphere,16,chemical,sodium citrate,25,45,,,0,protein,Immortalized,HFF,5,24,MTT,101.87
Au,19,sphere,16,chemical,sodium citrate,25,45,,,0,protein,Immortalized,HFF,10,24,MTT,101.43
Au,19,sphere,16,chemical,sodium citrate,25,45,,,0,protein,Immortalized,HFF,15,24,MTT,97.18
Au,19,sphere,16,chemical,sodium citrate,25,45,,,0,protein,Immortalized,HFF,25,24,MTT,97.4
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,100.13
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,102.84
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,104.4
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,104.54
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,107.1
Au,27,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,113.79
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,98.17
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,98.99
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,94.42
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,98.46
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,99.03
Au,14.4,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,98.74
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,95.15
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,98.85
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,101.98
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,112.8
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,106.11
Au,24.1,mixture,,biological,extract,25,35,3.5,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,107.67
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,97.86
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,97.57
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,96.01
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,18.79
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,22.49
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,17.79
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,500,24,NRU,32.02
